Encuesta,diasEleccion,dias1eraEnc+1,BacheletAdj,MattheiAdj,ParisiAdj,MEOAdj,ClaudeAdj,MirandaAdj,SfeirAdj,IsraelAdj,JocelynHoltAdj,Consider,Muestra
Conecta,-71,1,0.47,0.21,0.12,0.1,0.04,0.01,0.01,0,0,1,601
Contextus (Talca),-70,2,0.57,0.26,0.08,0.07,0.01,0,0.01,0,0,0,
La Segunda - UDD,-66,6,0.45,0.32,0.09,0.08,0.05,0,0.01,0,0,1,969
Corporación Humanas (sólo mujeres),-62,10,0.62,0.18,0.08,0.07,0.03,0,0,0,0,0,
IPSOS 1,-69,3,0.36,0.24,0.15,0.11,0.08,0.01,0.02,0.01,0.02,0,
"IPSOS ""Likely Voters"" 1",-69,3,0.38,0.25,0.13,0.13,0.09,0.01,0.01,0.01,0.01,1,690
Cespa (Aysén),-64,8,0.73,0.11,0.06,0.08,0.02,0,0,0,0,0,
Corbiobío (Biobío),-54,18,0.44,0.26,0.16,0.07,0.04,0,0.01,0,0,0,
Ichem-UA,-51,21,0.54,0.21,0.09,0.1,0.04,0,0.01,0,0,1,1708
IPSOS 2,-44,28,0.39,0.22,0.17,0.08,0.07,0.02,0.02,0.01,0.02,0,
"IPSOS ""Likely Voters"" 2",-44,28,0.37,0.26,0.17,0.08,0.06,0.02,0.02,0.01,0.02,1,690
CEP,-50,22,0.58,0.17,0.12,0.08,0.04,0,0,0,0,1,1437
UVM (Valparaíso),-44,28,0.29,0.23,0.21,0.13,0.06,0.01,0.02,0,0,0,
UBB (Chillán),-43,29,0.52,0.18,0.17,0.07,0.05,0,0.01,0,0,0,
UDP - ICSO,-38,34,0.53,0.17,0.14,0.08,0.06,0,0,0,0,1,756
Corbiobío (Biobío),-33,39,0.35,0.21,0.21,0.05,0.03,0.01,0.01,0,0.01,0,
La Segunda - UDD,-31,41,0.47,0.3,0.12,0.08,0.03,0,0,0,0,1,969
"IPSOS ""Likely Voters"" 3",-30,42,0.36,0.22,0.16,0.08,0.07,0.03,0.02,0.02,0.03,1,690
El Mercurio de Antofagasta (Antof.),-28,44,0.39,0.14,0.29,0.09,0.04,0,0,0,0,0,
El Tipógrafo (Rancagua),-23,49,0.47,0.22,0.17,0.09,0.01,0.01,0.01,0.01,0.01,0,
Opina-El Mercurio,-21,51,0.53,0.25,0.09,0.08,0.02,0.01,0,0,0,1,561
"IPSOS ""Likely Voters"" 4",-21,51,0.35,0.22,0.15,0.12,0.07,0.03,0.03,0.02,0,1,690
MarTerra Consultores (Los Lagos),-19,53,0.56,0.23,0.12,0.05,0.02,0.01,0,0,0,0,
Consultora Somos (Chillán),-19,53,0.47,0.28,0.09,0.07,0.01,0.01,0.02,0.03,0.02,0,
Resultado,0,72,0.47,0.25,0.1,0.11,0.03,0.01,0.02,0.01,0,0,
