Encuesta,diasEleccion,dias1eraEnc+1,PineraAdj,GuillierAdj,LagosAdj,OssandonAdj,MEOAdj,InsulzaAdj,FarkasAdj,ParisiAdj,FKastAdj,GoicAdj,MayolAdj,SanchezAdj,JAKastAdj,Consider,Muestra,ME,Date
Adimark,-472,1,0.34,0.09,0.09,0.04,0.06,,,,,,,,,1,1054,,04/08/2016
Cadem,-471,2,0.39,0.03,0.14,0.11,0.06,,0.03,,,,,,,1,730,,05/08/2016
CEP,-457,16,0.37,0.03,0.13,0.05,0.08,0.03,0.08,,,,,,,1,1416,3,19/08/2016
Cadem,-450,23,0.49,0.09,0.11,0.11,0.04,,0.06,,,,,,,1,730,,26/08/2016
Cadem,-436,37,0.36,0.16,0.1,0.09,0.07,,0.02,,,,,,,1,730,,09/09/2016
Cadem,-429,44,0.37,0.19,0.1,0.1,0.03,,0.03,,,,,,,1,730,,16/09/2016
Cadem,-422,51,0.4,0.19,0.11,0.04,0.04,,0.04,,,,,,,1,730,,23/09/2016
Cadem,-415,58,0.39,0.24,0.08,0.06,0.06,,0.02,,,,,,,1,730,,30/09/2016
Cadem,-408,65,0.4,0.19,0.11,0.04,0.04,,0.06,,,,,,,1,730,,07/10/2016
Cadem,-401,72,0.39,0.16,0.12,0.06,0.04,,0.04,,,,,,,1,730,,14/10/2016
Cadem,-394,79,0.43,0.13,0.13,0.04,0.06,,0.04,,,,,,,1,730,,21/10/2016
Cadem,-387,86,0.41,0.17,0.14,0.05,0.05,,0.03,,,,,,,1,730,,28/10/2016
Adimark,-381,92,0.32,0.24,0.08,0.06,0.08,0.02,,,0.02,,,,,1,1054,,03/11/2016
Cadem,-380,93,0.45,0.23,0.1,0.05,0.03,,0.03,,,,,,,1,730,,04/11/2016
Cadem,-373,100,0.44,0.27,0.08,0.05,0.03,,0.03,,0.02,,,,,1,730,,11/11/2016
Cadem,-366,107,0.44,0.27,0.08,0.05,0.03,,0.02,,,,,,,1,730,,18/11/2016
Cadem,-359,114,0.39,0.3,0.07,0.05,0.04,0.04,0.04,,0.02,,,,,1,730,,25/11/2016
Adimark,-353,120,0.35,0.3,0.1,0.06,0.01,0.01,,,0.01,0.01,,,,1,1054,,01/12/2016
Cadem,-352,121,0.41,0.24,0.09,0.09,0.02,0.03,0.03,0.02,,,,,,1,730,,02/12/2016
Cadem,-345,128,0.43,0.25,0.07,0.07,0.02,0.04,0.04,0.02,0.02,,,,,1,730,,09/12/2016
CERC-Mori,-339,134,0.44,0.33,0.14,0.07,,,,,,,,,,1,1200,3,15/12/2016
Cadem,-338,135,0.37,0.31,0.08,0.07,0.02,0.03,0.02,0.02,,,,,,1,730,,16/12/2016
Cadem,-331,142,0.4,0.26,0.1,0.03,0.02,0.02,0.03,0.02,,,,,,1,730,,23/12/2016
Cadem,-324,149,0.4,0.33,0.07,0.07,0.02,0.02,0.02,0.02,,,,,,1,730,,30/12/2016
Adimark,-318,155,0.38,0.34,0.06,0.05,0.03,0.01,,,,,,,,1,1054,,05/01/2017
CEP,-318,155,0.39,0.27,0.1,0.04,0.02,0.04,0.04,,,,,,,1,1464,3,05/01/2017
Cadem,-317,156,0.39,0.32,0.05,0.05,0.04,0.02,0.02,0.04,,,,,,1,730,,06/01/2017
Cadem,-310,163,0.39,0.37,0.05,0.03,0.02,,0.02,0.02,,,,,,1,730,,13/01/2017
Cadem,-303,170,0.38,0.37,0.07,0.03,,,0.03,0.02,,,,,,1,730,,20/01/2017
Cadem,-296,177,0.44,0.33,0.04,0.05,,,,0.04,,,,,,1,730,,27/01/2017
Adimark,-291,182,0.36,0.37,0.07,0.03,0.01,0.01,,,0.01,0.01,,,,1,1054,,01/02/2017
