regionID,region,provincia,distrito,comuna,lista,pacto,partido,candidato,votosComuna
11,AISEN DEL GRAL. CARLOS IBAÑEZ,AISEN,27,AISEN,E,PACTO NUEVA MAYORIA,INDEPENDIENTE,MARCELO RODRIGUEZ AVILES,2930
11,AISEN DEL GRAL. CARLOS IBAÑEZ,AISEN,27,AISEN,F,PACTO CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,OSCAR SERVANDO CATALAN SANCHEZ,4644
11,AISEN DEL GRAL. CARLOS IBAÑEZ,AISEN,27,AISEN,,,,VOTOS EN BLANCO,116
11,AISEN DEL GRAL. CARLOS IBAÑEZ,AISEN,27,AISEN,,,,VOTOS NULOS,127
5,DE VALPARAISO,SAN ANTONIO,7,ALGARROBO,F,PACTO CHILE VAMOS,INDEPENDIENTE,GUILLERMO URQUIZA TAPIA,1446
5,DE VALPARAISO,SAN ANTONIO,7,ALGARROBO,,CANDIDATURA INDEPENDIENTE,INDEPENDIENTE,JOSE LUIS YAÑEZ MALDONADO,1772
5,DE VALPARAISO,SAN ANTONIO,7,ALGARROBO,,CANDIDATURA INDEPENDIENTE,INDEPENDIENTE,LUIS ERNESTO AHUMADA HORMAZABAL,141
5,DE VALPARAISO,SAN ANTONIO,7,ALGARROBO,,CANDIDATURA INDEPENDIENTE,INDEPENDIENTE,SANTIAGO ENRIQUE VERA TORREALBA,1592
5,DE VALPARAISO,SAN ANTONIO,7,ALGARROBO,E,PACTO NUEVA MAYORIA,INDEPENDIENTE,VICTOR PINTO MUÑOZ,744
5,DE VALPARAISO,SAN ANTONIO,7,ALGARROBO,,,,VOTOS EN BLANCO,68
5,DE VALPARAISO,SAN ANTONIO,7,ALGARROBO,,,,VOTOS NULOS,91
13,METROPOLITANA DE SANTIAGO,MELIPILLA,14,ALHUE,P,PACTO ALTERNATIVA DEMOCRATICA,PARTIDO HUMANISTA,FIDEL VALENZUELA MADRID,602
13,METROPOLITANA DE SANTIAGO,MELIPILLA,14,ALHUE,E,PACTO NUEVA MAYORIA,INDEPENDIENTE,ROBERTO TORRES HUERTA,2477
13,METROPOLITANA DE SANTIAGO,MELIPILLA,14,ALHUE,,,,VOTOS EN BLANCO,11
13,METROPOLITANA DE SANTIAGO,MELIPILLA,14,ALHUE,,,,VOTOS NULOS,12
