regionID,region,Provincia,Distrito,Comuna,Lista,NºenVoto,Pacto,SubPacto,Partido,votosComuna
8,DEL BIOBIO,CONCEPCION,20,TOME,O,38,PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,PARTIDO PROGRESISTA ,217
,AISEN DEL GRAL. CARLOS IBAÑEZ,CAPITAN PRAT,27,TORTEL,S,19,PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PPD E INDEPENDIENTES,INDEPENDIENTE,14
6,DEL LIBERTADOR BDO. O'HIGGINS,COLCHAGUA,16,CHIMBARONGO,G,10,PACTO CON LA FUERZA DEL FUTURO,"SUBPACTO IC, MAS REGION E INDEPENDIENTES",INDEPENDIENTE,71
7,DEL MAULE,CAUQUENES,18,CHANCO,G,9,PACTO CON LA FUERZA DEL FUTURO,SUBPACTO PRSD E INDEPENDIENTES,INDEPENDIENTE,43
7,DEL MAULE,TALCA,17,PELARCO,H,16,PACTO CHILE VAMOS RN E INDEPENDIENTES,,INDEPENDIENTE,50
8,DEL BIOBIO,BIOBIO,21,SAN ROSENDO,L,27,PACTO CHILE VAMOS UDI-INDEPENDIENTES,,UNION DEMOCRATA INDEPENDIENTE,24
,AISEN DEL GRAL. CARLOS IBAÑEZ,CAPITAN PRAT,27,TORTEL,S,17,PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PPD E INDEPENDIENTES,PARTIDO POR LA DEMOCRACIA,68
3,DE ATACAMA,COPIAPO,4,COPIAPO,B,16,PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,325
6,DEL LIBERTADOR BDO. O'HIGGINS,CARDENAL CARO,16,PAREDONES,P,30,PACTO ALTERNATIVA DEMOCRATICA,SUBPACTO MIRAS E INDEPENDIENTES,MOVIMIENTO INDEPENDIENTE REGIONALISTA AGRARIO Y SOCIAL ,18
5,DE VALPARAISO,MARGA MARGA,6,OLMUE,L,38,PACTO CHILE VAMOS UDI-INDEPENDIENTES,,UNION DEMOCRATA INDEPENDIENTE,80
6,DEL LIBERTADOR BDO. O'HIGGINS,COLCHAGUA,16,CHIMBARONGO,G,11,PACTO CON LA FUERZA DEL FUTURO,SUBPACTO PRSD E INDEPENDIENTES,INDEPENDIENTE,178
10,DE LOS LAGOS,LLANQUIHUE,25,PUERTO VARAS,I,31,PACTO CHILE QUIERE AMPLITUD,,AMPLITUD,210
13,METROPOLITANA DE SANTIAGO,SANTIAGO,12,LA PINTANA,L,40,PACTO CHILE VAMOS UDI-INDEPENDIENTES,,UNION DEMOCRATA INDEPENDIENTE,648
13,METROPOLITANA DE SANTIAGO,MELIPILLA,14,ALHUE,L,18,PACTO CHILE VAMOS UDI-INDEPENDIENTES,,UNION DEMOCRATA INDEPENDIENTE,107
6,DEL LIBERTADOR BDO. O'HIGGINS,CARDENAL CARO,16,MARCHIGUE,S,27,PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PPD E INDEPENDIENTES,PARTIDO POR LA DEMOCRACIA,128
13,METROPOLITANA DE SANTIAGO,SANTIAGO,11,PEÑALOLEN,O,61,PACTO YO MARCO POR EL CAMBIO,SUBPACTO PRO E INDEPENDIENTES,INDEPENDIENTE,173
13,METROPOLITANA DE SANTIAGO,SANTIAGO,8,MAIPU,B,8,PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,2153
8,DEL BIOBIO,CONCEPCION,20,SAN PEDRO DE LA PAZ,C,19,PACTO PODER ECOLOGISTA Y CIUDADANO,,INDEPENDIENTE,115
13,METROPOLITANA DE SANTIAGO,MAIPO,14,PAINE,J,24,PACTO CHILE VAMOS PRI-EVOPOLI E INDEPENDIENTES,SUBPACTO EVOPOLI E INDEPENDIENTES,PARTIDO EVOLUCION POLITICA ,132
6,DEL LIBERTADOR BDO. O'HIGGINS,COLCHAGUA,16,SANTA CRUZ,S,34,PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PCCH E INDEPENDIENTES,PARTIDO COMUNISTA DE CHILE ,94
7,DEL MAULE,CURICO,17,MOLINA,H,21,PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,74
8,DEL BIOBIO,ÑUBLE,19,YUNGAY,S,34,PACTO NUEVA MAYORIA POR CHILE,SUBPACTO PPD E INDEPENDIENTES,PARTIDO POR LA DEMOCRACIA,277
13,METROPOLITANA DE SANTIAGO,CORDILLERA,12,PUENTE ALTO,P,75,PACTO ALTERNATIVA DEMOCRATICA,SUBPACTO HUMANISTAS E INDEPENDIENTES,INDEPENDIENTE,368
8,DEL BIOBIO,CONCEPCION,20,SANTA JUANA,G,13,PACTO CON LA FUERZA DEL FUTURO,"SUBPACTO IC, MAS REGION E INDEPENDIENTES",INDEPENDIENTE,63
10,DE LOS LAGOS,OSORNO,25,SAN JUAN DE LA COSTA,L,19,PACTO CHILE VAMOS UDI-INDEPENDIENTES,,UNION DEMOCRATA INDEPENDIENTE,113
8,DEL BIOBIO,CONCEPCION,20,HUALPEN,G,21,PACTO CON LA FUERZA DEL FUTURO,"SUBPACTO IC, MAS REGION E INDEPENDIENTES",INDEPENDIENTE,149
,AISEN DEL GRAL. CARLOS IBAÑEZ,CAPITAN PRAT,27,COCHRANE,H,13,PACTO CHILE VAMOS RN E INDEPENDIENTES,,RENOVACION NACIONAL ,126
